"player"
"KL Rahul"
"Mandeep Singh"
"AT Rayudu"
"MK Pandey"
"KM Jadhav"
"MS Dhoni"
"AR Patel"
"R Dhawan"
"JJ Bumrah"
"JD Unadkat"
"YS Chahal"
"DS Kulkarni"
"BB Sran"
"V Kohli"
"SK Raina"
"Yuvraj Singh"
"HH Pandya"
"Parvez Rasool"
"A Nehra"
"A Mishra"
"RR Pant"
"RG Sharma"
"AM Rahane"
"STR Binny"
"R Ashwin"
"RA Jadeja"
"Mohammed Shami"
"B Kumar"
"S Dhawan"
"KD Karthik"
"Kuldeep Yadav"
"UT Yadav"
"DL Chahar"
"S Kaul"
"SS Iyer"
"Mohammed Siraj"
"SN Thakur"
"Washington Sundar"
"V Shankar"
"KH Pandya"
"KK Ahmed"
"M Markande"
"Navdeep Saini"
"S Dube"
"SV Samson"
"RD Chahar"
"T Natarajan"
"Ishan Kishan"
"SA Yadav"
"PP Shaw"
"CV Varun"
"RD Gaikwad"
"D Padikkal"
"N Rana"
"C Sakariya"
"S Sandeep Warrier"
"DJ Hooda"
"HV Patel"
"Arshdeep Singh"
"Avesh Khan"
"Ravi Bishnoi"
"Umran Malik"
"VR Iyer"
"Shubman Gill"
"Shivam Mavi"
"RA Tripathi"
"Tilak Varma"
"Mukesh Kumar"
"YBK Jaiswal"
"RK Singh"
"M Prasidh Krishna"
"JM Sharma"
"R Sai Kishore"
"Shahbaz Ahmed"
"V Sehwag"
"SR Tendulkar"
"D Mongia"
"IK Pathan"
"Harbhajan Singh"
"Z Khan"
"AB Agarkar"
"S Sreesanth"
"G Gambhir"
"RV Uthappa"
"RP Singh"
"Joginder Sharma"
"YK Pathan"
"P Kumar"
"I Sharma"
"M Kartik"
"PP Ojha"
"M Vijay"
"PP Chawla"
"R Vinay Kumar"
"AB Dinda"
"S Tyagi"
"NV Ojha"
"MM Patel"
"PA Patel"
"R Dravid"
"S Badrinath"
"R Sharma"
"MK Tiwary"
"L Balaji"
"P Awana"
"KV Sharma"
"MM Sharma"
"Sandeep Sharma"
"S Aravind"
"P Negi"
