"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"Mohammed Shami","CJL Rogers",0.1,0,FALSE,0,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",0.2,2,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",0.3,0,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",0.4,0,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",0.5,0,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",0.6,0,FALSE,2,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",1.1,4,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",1.2,0,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",1.3,0,FALSE,6,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",1.4,4,TRUE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",1.4,0,FALSE,11,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",1.5,4,FALSE,15,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",1.6,1,FALSE,16,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",2.1,4,FALSE,20,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",2.2,4,FALSE,24,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",2.3,0,FALSE,24,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",2.4,0,FALSE,24,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",2.5,4,FALSE,28,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",2.6,3,FALSE,31,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",3.1,0,FALSE,31,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",3.2,4,TRUE,36,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",3.2,2,FALSE,38,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",3.3,0,TRUE,39,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","DA Warner",3.3,1,FALSE,40,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","CJL Rogers",3.4,0,FALSE,40,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","CJL Rogers",3.5,0,FALSE,40,0,"Australia",1,"bat","Australia","  runs","Australia"
"VR Aaron","CJL Rogers",3.6,0,FALSE,40,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",4.1,1,FALSE,41,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",4.2,3,FALSE,44,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",4.3,0,FALSE,44,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","DA Warner",4.4,1,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",4.5,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",4.6,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",5.1,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",5.2,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",5.3,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",5.4,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",5.5,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",5.6,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",6.1,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",6.2,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",6.3,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",6.4,0,FALSE,45,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",6.5,4,FALSE,49,0,"Australia",1,"bat","Australia","  runs","Australia"
"Mohammed Shami","CJL Rogers",6.6,0,FALSE,49,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","DA Warner",7.1,1,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","CJL Rogers",7.2,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","CJL Rogers",7.3,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
"I Sharma","CJL Rogers",7.4,0,FALSE,50,0,"Australia",1,"bat","Australia","  runs","Australia"
