"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"JR Hazlewood","RG Sharma",0.1,2,FALSE,2,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",0.2,4,FALSE,6,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",0.3,0,FALSE,6,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",0.4,0,TRUE,10,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",0.5,1,FALSE,11,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","S Dhawan",0.6,0,FALSE,11,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Fast"
"JS Paris","RG Sharma",1.1,1,FALSE,12,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Spin"
"JS Paris","S Dhawan",1.2,0,FALSE,12,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","S Dhawan",1.3,2,FALSE,14,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","S Dhawan",1.4,0,FALSE,14,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","S Dhawan",1.5,0,FALSE,14,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","S Dhawan",1.6,0,FALSE,14,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JR Hazlewood","RG Sharma",2.1,4,FALSE,18,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",2.2,2,FALSE,20,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",2.3,0,FALSE,20,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",2.4,0,FALSE,20,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",2.5,0,FALSE,20,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JR Hazlewood","RG Sharma",2.6,0,FALSE,20,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Fast"
"JS Paris","S Dhawan",3.1,0,FALSE,20,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","S Dhawan",3.2,1,FALSE,21,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","RG Sharma",3.3,0,FALSE,21,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Spin"
"JS Paris","RG Sharma",3.4,6,FALSE,27,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Spin"
"JS Paris","RG Sharma",3.5,0,FALSE,27,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Spin"
"JS Paris","RG Sharma",3.6,0,TRUE,28,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Spin"
"JS Paris","RG Sharma",3.6,0,FALSE,28,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Spin"
"JR Hazlewood","S Dhawan",4.1,0,FALSE,28,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Fast"
"JR Hazlewood","S Dhawan",4.2,0,FALSE,28,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Fast"
"JR Hazlewood","S Dhawan",4.3,0,FALSE,28,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Fast"
"JR Hazlewood","S Dhawan",4.4,0,FALSE,28,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Fast"
"JR Hazlewood","S Dhawan",4.5,0,FALSE,28,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Fast"
"JR Hazlewood","S Dhawan",4.6,1,FALSE,29,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Fast"
"JS Paris","S Dhawan",5.1,0,FALSE,29,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","S Dhawan",5.2,4,FALSE,33,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","S Dhawan",5.3,1,FALSE,34,0,"India",1,"bat","Australia","5  wickets","Australia","Left","Spin"
"JS Paris","RG Sharma",5.4,1,FALSE,35,0,"India",1,"bat","Australia","5  wickets","Australia","Right","Spin"
