"baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
"CJ McKay","RG Sharma",0.1,1,FALSE,1,0,"India",1,"field","India","  runs","India","Right","Spin"
"CJ McKay","S Dhawan",0.2,0,TRUE,2,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",0.2,2,FALSE,4,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",0.3,0,FALSE,4,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",0.4,0,FALSE,4,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",0.5,0,FALSE,4,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",0.6,0,FALSE,4,0,"India",1,"field","India","  runs","India","Left","Spin"
"NM Coulter-Nile","RG Sharma",1.1,0,FALSE,4,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",1.2,0,FALSE,4,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",1.3,0,TRUE,5,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",1.3,0,FALSE,5,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",1.4,4,FALSE,9,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",1.5,0,FALSE,9,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",1.6,0,FALSE,9,0,"India",1,"field","India","  runs","India","Right","Fast"
"CJ McKay","S Dhawan",2.1,0,TRUE,12,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",2.1,4,FALSE,16,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",2.2,4,FALSE,20,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",2.3,4,FALSE,24,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","S Dhawan",2.4,1,FALSE,25,0,"India",1,"field","India","  runs","India","Left","Spin"
"CJ McKay","RG Sharma",2.5,0,FALSE,25,0,"India",1,"field","India","  runs","India","Right","Spin"
"CJ McKay","RG Sharma",2.6,1,FALSE,26,0,"India",1,"field","India","  runs","India","Right","Spin"
"NM Coulter-Nile","RG Sharma",3.1,0,FALSE,26,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",3.2,0,FALSE,26,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","RG Sharma",3.3,1,FALSE,27,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","S Dhawan",3.4,2,FALSE,29,0,"India",1,"field","India","  runs","India","Left","Fast"
"NM Coulter-Nile","S Dhawan",3.5,0,FALSE,29,0,"India",1,"field","India","  runs","India","Left","Fast"
"NM Coulter-Nile","S Dhawan",3.6,0,FALSE,29,0,"India",1,"field","India","  runs","India","Left","Fast"
"JP Faulkner","RG Sharma",4.1,0,FALSE,29,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",4.2,0,FALSE,29,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",4.3,0,FALSE,29,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",4.4,4,FALSE,33,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",4.5,0,FALSE,33,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",4.6,0,FALSE,33,0,"India",1,"field","India","  runs","India","Right","Fast"
"NM Coulter-Nile","S Dhawan",5.1,0,FALSE,33,0,"India",1,"field","India","  runs","India","Left","Fast"
"NM Coulter-Nile","S Dhawan",5.2,4,FALSE,37,0,"India",1,"field","India","  runs","India","Left","Fast"
"NM Coulter-Nile","S Dhawan",5.3,0,FALSE,37,0,"India",1,"field","India","  runs","India","Left","Fast"
"NM Coulter-Nile","S Dhawan",5.4,4,FALSE,41,0,"India",1,"field","India","  runs","India","Left","Fast"
"NM Coulter-Nile","S Dhawan",5.5,0,FALSE,41,0,"India",1,"field","India","  runs","India","Left","Fast"
"NM Coulter-Nile","S Dhawan",5.6,4,FALSE,45,0,"India",1,"field","India","  runs","India","Left","Fast"
"JP Faulkner","RG Sharma",6.1,0,TRUE,46,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",6.1,0,FALSE,46,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",6.2,4,FALSE,50,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",6.3,0,FALSE,50,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",6.4,0,FALSE,50,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",6.5,0,FALSE,50,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",6.6,1,FALSE,51,0,"India",1,"field","India","  runs","India","Right","Fast"
"SR Watson","RG Sharma",7.1,0,FALSE,51,0,"India",1,"field","India","  runs","India","Right","Spin"
"SR Watson","RG Sharma",7.2,0,FALSE,51,0,"India",1,"field","India","  runs","India","Right","Spin"
"SR Watson","RG Sharma",7.3,0,FALSE,51,0,"India",1,"field","India","  runs","India","Right","Spin"
"SR Watson","RG Sharma",7.4,0,FALSE,51,0,"India",1,"field","India","  runs","India","Right","Spin"
"SR Watson","RG Sharma",7.5,1,FALSE,52,0,"India",1,"field","India","  runs","India","Right","Spin"
"SR Watson","S Dhawan",7.6,0,FALSE,52,0,"India",1,"field","India","  runs","India","Left","Spin"
"JP Faulkner","RG Sharma",8.1,0,FALSE,52,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",8.2,0,FALSE,52,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",8.3,0,FALSE,52,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",8.4,0,FALSE,52,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",8.5,2,FALSE,54,0,"India",1,"field","India","  runs","India","Right","Fast"
"JP Faulkner","RG Sharma",8.6,6,FALSE,60,0,"India",1,"field","India","  runs","India","Right","Fast"
"SR Watson","S Dhawan",9.1,0,FALSE,60,0,"India",1,"field","India","  runs","India","Left","Spin"
"SR Watson","S Dhawan",9.2,0,FALSE,60,0,"India",1,"field","India","  runs","India","Left","Spin"
"SR Watson","S Dhawan",9.3,0,FALSE,60,0,"India",1,"field","India","  runs","India","Left","Spin"
