"X","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner","batter_style","bowler_style"
1,"GD McGrath","SC Ganguly",0.1,2,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
2,"GD McGrath","SC Ganguly",0.2,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
3,"GD McGrath","SC Ganguly",0.3,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
4,"GD McGrath","SC Ganguly",0.4,0,TRUE,3,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
5,"GD McGrath","SR Tendulkar",0.5,0,FALSE,3,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
6,"GD McGrath","SR Tendulkar",0.6,0,FALSE,3,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
7,"B Lee","SC Ganguly",1.1,1,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
8,"B Lee","SR Tendulkar",1.2,0,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
9,"B Lee","SR Tendulkar",1.3,0,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
10,"B Lee","SR Tendulkar",1.4,1,FALSE,5,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
11,"B Lee","SC Ganguly",1.5,0,TRUE,7,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
12,"B Lee","SC Ganguly",1.6,0,FALSE,7,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
13,"GD McGrath","SR Tendulkar",2.1,0,FALSE,7,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
14,"GD McGrath","SR Tendulkar",2.2,1,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
15,"GD McGrath","SC Ganguly",2.3,0,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
16,"GD McGrath","SC Ganguly",2.4,0,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
17,"GD McGrath","SC Ganguly",2.5,0,FALSE,8,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
18,"GD McGrath","SC Ganguly",2.6,1,FALSE,9,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
19,"B Lee","SC Ganguly",3.1,0,FALSE,9,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
20,"B Lee","SC Ganguly",3.2,0,FALSE,9,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
21,"B Lee","SC Ganguly",3.3,0,TRUE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
22,"B Lee","SR Tendulkar",3.4,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
23,"B Lee","SR Tendulkar",3.5,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
24,"B Lee","SR Tendulkar",3.6,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
25,"GD McGrath","SC Ganguly",4.1,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
26,"GD McGrath","SC Ganguly",4.2,4,FALSE,14,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
27,"GD McGrath","SC Ganguly",4.3,0,FALSE,14,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
28,"GD McGrath","SC Ganguly",4.4,0,FALSE,14,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
29,"GD McGrath","SC Ganguly",4.5,0,TRUE,15,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
30,"GD McGrath","SR Tendulkar",4.6,0,FALSE,15,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
31,"B Lee","SC Ganguly",5.1,1,FALSE,16,0,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
32,"B Lee","SR Tendulkar",5.2,0,TRUE,17,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
33,"B Lee","SR Tendulkar",5.2,4,FALSE,21,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
34,"B Lee","SR Tendulkar",5.3,1,FALSE,22,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
35,"B Lee","SC Ganguly",5.4,0,FALSE,22,1,"India",1,"bat","Australia","9  wickets","Australia","Left","Fast"
36,"B Lee","V Sehwag",5.5,0,FALSE,22,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
37,"B Lee","V Sehwag",5.6,4,FALSE,26,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
38,"GD McGrath","SR Tendulkar",6.1,2,FALSE,28,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
39,"GD McGrath","SR Tendulkar",6.2,4,FALSE,32,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
40,"GD McGrath","SR Tendulkar",6.3,4,FALSE,36,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
41,"GD McGrath","SR Tendulkar",6.4,2,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
42,"GD McGrath","SR Tendulkar",6.5,2,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
43,"GD McGrath","SR Tendulkar",6.6,0,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
44,"B Lee","V Sehwag",7.1,0,FALSE,40,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
45,"B Lee","V Sehwag",7.2,0,TRUE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
46,"B Lee","V Sehwag",7.2,0,FALSE,41,2,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
47,"B Lee","R Dravid",7.3,0,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
48,"B Lee","R Dravid",7.4,0,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
49,"B Lee","R Dravid",7.5,0,FALSE,41,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
50,"B Lee","R Dravid",7.6,1,FALSE,42,0,"India",1,"bat","Australia","9  wickets","Australia","Right","Fast"
