"","baller","batter","balls","runsperball","extra","total_score","wickets","country","innings","toss_decision","toss_winner","margin","match_winner"
"1","GD McGrath","SC Ganguly",0.1,2,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia"
"2","GD McGrath","SC Ganguly",0.2,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia"
"3","GD McGrath","SC Ganguly",0.3,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia"
"4","GD McGrath","SC Ganguly",0.4,0,TRUE,2,0,"India",1,"bat","Australia","9  wickets","Australia"
"5","GD McGrath","SR Tendulkar",0.5,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia"
"6","GD McGrath","SR Tendulkar",0.6,0,FALSE,2,0,"India",1,"bat","Australia","9  wickets","Australia"
"7","B Lee","SC Ganguly",1.1,1,FALSE,3,0,"India",1,"bat","Australia","9  wickets","Australia"
"8","B Lee","SR Tendulkar",1.2,0,FALSE,3,0,"India",1,"bat","Australia","9  wickets","Australia"
"9","B Lee","SR Tendulkar",1.3,0,FALSE,3,0,"India",1,"bat","Australia","9  wickets","Australia"
"10","B Lee","SR Tendulkar",1.4,1,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia"
"11","B Lee","SC Ganguly",1.5,0,TRUE,4,0,"India",1,"bat","Australia","9  wickets","Australia"
"12","B Lee","SC Ganguly",1.6,0,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia"
"13","GD McGrath","SR Tendulkar",2.1,0,FALSE,4,0,"India",1,"bat","Australia","9  wickets","Australia"
"14","GD McGrath","SR Tendulkar",2.2,1,FALSE,5,0,"India",1,"bat","Australia","9  wickets","Australia"
"15","GD McGrath","SC Ganguly",2.3,0,FALSE,5,0,"India",1,"bat","Australia","9  wickets","Australia"
"16","GD McGrath","SC Ganguly",2.4,0,FALSE,5,0,"India",1,"bat","Australia","9  wickets","Australia"
"17","GD McGrath","SC Ganguly",2.5,0,FALSE,5,0,"India",1,"bat","Australia","9  wickets","Australia"
"18","GD McGrath","SC Ganguly",2.6,1,FALSE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"19","B Lee","SC Ganguly",3.1,0,FALSE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"20","B Lee","SC Ganguly",3.2,0,FALSE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"21","B Lee","SC Ganguly",3.3,0,TRUE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"22","B Lee","SR Tendulkar",3.4,0,FALSE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"23","B Lee","SR Tendulkar",3.5,0,FALSE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"24","B Lee","SR Tendulkar",3.6,0,FALSE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"25","GD McGrath","SC Ganguly",4.1,0,FALSE,6,0,"India",1,"bat","Australia","9  wickets","Australia"
"26","GD McGrath","SC Ganguly",4.2,4,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia"
"27","GD McGrath","SC Ganguly",4.3,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia"
"28","GD McGrath","SC Ganguly",4.4,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia"
"29","GD McGrath","SC Ganguly",4.5,0,TRUE,10,0,"India",1,"bat","Australia","9  wickets","Australia"
"30","GD McGrath","SR Tendulkar",4.6,0,FALSE,10,0,"India",1,"bat","Australia","9  wickets","Australia"
"31","B Lee","SC Ganguly",5.1,1,FALSE,11,0,"India",1,"bat","Australia","9  wickets","Australia"
"32","B Lee","SR Tendulkar",5.2,0,TRUE,12,0,"India",1,"bat","Australia","9  wickets","Australia"
"33","B Lee","SR Tendulkar",5.2,4,FALSE,16,0,"India",1,"bat","Australia","9  wickets","Australia"
"34","B Lee","SR Tendulkar",5.3,1,FALSE,17,0,"India",1,"bat","Australia","9  wickets","Australia"
"35","B Lee","SC Ganguly",5.4,0,FALSE,17,1,"India",1,"bat","Australia","9  wickets","Australia"
"36","B Lee","V Sehwag",5.5,0,FALSE,17,0,"India",1,"bat","Australia","9  wickets","Australia"
"37","B Lee","V Sehwag",5.6,4,FALSE,21,0,"India",1,"bat","Australia","9  wickets","Australia"
"38","GD McGrath","SR Tendulkar",6.1,2,FALSE,23,0,"India",1,"bat","Australia","9  wickets","Australia"
"39","GD McGrath","SR Tendulkar",6.2,4,FALSE,27,0,"India",1,"bat","Australia","9  wickets","Australia"
"40","GD McGrath","SR Tendulkar",6.3,4,FALSE,31,0,"India",1,"bat","Australia","9  wickets","Australia"
"41","GD McGrath","SR Tendulkar",6.4,2,FALSE,33,0,"India",1,"bat","Australia","9  wickets","Australia"
"42","GD McGrath","SR Tendulkar",6.5,2,FALSE,35,0,"India",1,"bat","Australia","9  wickets","Australia"
"43","GD McGrath","SR Tendulkar",6.6,0,FALSE,35,0,"India",1,"bat","Australia","9  wickets","Australia"
"44","B Lee","V Sehwag",7.1,0,FALSE,35,0,"India",1,"bat","Australia","9  wickets","Australia"
"45","B Lee","V Sehwag",7.2,0,TRUE,36,0,"India",1,"bat","Australia","9  wickets","Australia"
"46","B Lee","V Sehwag",7.2,0,FALSE,36,2,"India",1,"bat","Australia","9  wickets","Australia"
"47","B Lee","R Dravid",7.3,0,FALSE,36,0,"India",1,"bat","Australia","9  wickets","Australia"
"48","B Lee","R Dravid",7.4,0,FALSE,36,0,"India",1,"bat","Australia","9  wickets","Australia"
"49","B Lee","R Dravid",7.5,0,FALSE,36,0,"India",1,"bat","Australia","9  wickets","Australia"
"50","B Lee","R Dravid",7.6,1,FALSE,37,0,"India",1,"bat","Australia","9  wickets","Australia"
"51","GD McGrath","R Dravid",8.1,0,FALSE,37,0,"India",1,"bat","Australia","9  wickets","Australia"
"52","GD McGrath","R Dravid",8.2,0,FALSE,37,0,"India",1,"bat","Australia","9  wickets","Australia"
"53","GD McGrath","R Dravid",8.3,0,FALSE,37,0,"India",1,"bat","Australia","9  wickets","Australia"
"54","GD McGrath","R Dravid",8.4,0,FALSE,37,0,"India",1,"bat","Australia","9  wickets","Australia"
"55","GD McGrath","R Dravid",8.5,0,FALSE,37,0,"India",1,"bat","Australia","9  wickets","Australia"
"56","GD McGrath","R Dravid",8.6,0,FALSE,37,0,"India",1,"bat","Australia","9  wickets","Australia"
"57","B Lee","SR Tendulkar",9.1,1,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"58","B Lee","R Dravid",9.2,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"59","B Lee","R Dravid",9.3,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"60","B Lee","R Dravid",9.4,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"61","B Lee","R Dravid",9.5,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"62","B Lee","R Dravid",9.6,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"63","GD McGrath","SR Tendulkar",10.1,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"64","GD McGrath","SR Tendulkar",10.2,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"65","GD McGrath","SR Tendulkar",10.3,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"66","GD McGrath","SR Tendulkar",10.4,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"67","GD McGrath","SR Tendulkar",10.5,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"68","GD McGrath","SR Tendulkar",10.6,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"69","B Lee","R Dravid",11.1,0,FALSE,38,0,"India",1,"bat","Australia","9  wickets","Australia"
"70","B Lee","R Dravid",11.2,0,TRUE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"71","B Lee","R Dravid",11.2,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
"72","B Lee","R Dravid",11.3,0,FALSE,39,0,"India",1,"bat","Australia","9  wickets","Australia"
