"player","runs","out","balls","country","strike_rate","batting_average","sixes","fours"
"SR Tendulkar",1467,34,1811,"India",81.0049696300386,43.1470588235294,8,146
"D Mongia",118,4,173,"India",68.2080924855491,29.5,0,11
"Harbhajan Singh",220,16,230,"India",95.6521739130435,13.75,6,21
"Z Khan",96,7,158,"India",60.7594936708861,13.7142857142857,3,6
"M Kaif",74,7,133,"India",55.6390977443609,10.5714285714286,0,4
"ML Hayden",1057,18,1265,"Australia",83.5573122529644,58.7222222222222,12,102
"A Kumble",35,5,65,"India",53.8461538461538,7,0,3
"Yuvraj Singh",931,34,1087,"India",85.6485740570377,27.3823529411765,16,86
"AC Gilchrist",961,24,846,"Australia",113.593380614657,40.0416666666667,8,108
"RT Ponting",1321,30,1508,"Australia",87.5994694960212,44.0333333333333,18,103
"V Sehwag",531,24,569,"India",93.3216168717047,22.125,7,63
"J Srinath",2,2,10,"India",20,1,0,0
"SC Ganguly",295,12,397,"India",74.3073047858942,24.5833333333333,5,25
"R Dravid",450,18,598,"India",75.2508361204013,25,1,35
"DR Martyn",590,10,701,"Australia",84.1654778887304,59,3,32
"A Nehra",44,3,34,"India",129.411764705882,14.6666666666667,1,5
"BA Williams",22,2,35,"Australia",62.8571428571429,11,0,0
"IJ Harvey",50,4,63,"Australia",79.3650793650794,12.5,0,5
"A Symonds",900,21,912,"Australia",98.6842105263158,42.8571428571429,25,71
"GB Hogg",151,5,194,"Australia",77.8350515463918,30.2,1,5
"NW Bracken",19,4,51,"Australia",37.2549019607843,4.75,0,0
"MG Bevan",174,6,235,"Australia",74.0425531914894,29,0,10
"AJ Bichel",33,5,47,"Australia",70.2127659574468,6.6,1,0
"AB Agarkar",120,8,154,"India",77.9220779220779,15,2,8
"VVS Laxman",501,6,638,"India",78.5266457680251,83.5,0,29
"MJ Clarke",578,18,724,"Australia",79.8342541436464,32.1111111111111,2,43
"PA Patel",60,3,95,"India",63.1578947368421,20,0,4
"SB Bangar",3,1,5,"India",60,3,0,0
"JN Gillespie",14,1,19,"Australia",73.6842105263158,14,0,0
"IK Pathan",248,14,349,"India",71.0601719197708,17.7142857142857,8,23
"RS Gavaskar",10,1,13,"India",76.9230769230769,10,0,1
"B Lee",87,8,122,"Australia",71.3114754098361,10.875,2,4
"SM Katich",40,2,64,"Australia",62.5,20,0,5
"M Kartik",76,2,99,"India",76.7676767676768,38,0,8
"L Balaji",15,3,44,"India",34.0909090909091,5,0,0
"MEK Hussey",703,13,776,"Australia",90.5927835051546,54.0769230769231,5,53
"HK Badani",78,1,105,"India",74.2857142857143,78,1,4
"SK Raina",536,17,565,"India",94.8672566371681,31.5294117647059,11,45
"MS Dhoni",1623,37,1940,"India",83.659793814433,43.8648648648649,33,111
"SR Watson",624,16,628,"Australia",99.3630573248408,39,17,76
"GD McGrath",0,0,1,"Australia",0,0,0,0
"SR Clark",10,2,13,"Australia",76.9230769230769,5,0,0
"BJ Haddin",330,8,407,"Australia",81.0810810810811,41.25,10,31
"RP Singh",16,1,39,"India",41.025641025641,16,0,1
"MM Patel",3,3,15,"India",20,1,0,0
"RR Powar",17,1,17,"India",100,17,1,1
"RV Uthappa",283,9,295,"India",95.9322033898305,31.4444444444444,7,29
"BJ Hodge",59,5,101,"Australia",58.4158415841584,11.8,0,7
"S Sreesanth",13,2,45,"India",28.8888888888889,6.5,0,0
