"player","score","wickets","extra","country"
"GD McGrath",77,4,2,"Australia"
"A Symonds",113,2,6,"Australia"
"GB Hogg",155,4,5,"Australia"
"Harbhajan Singh",188,4,4,"India"
"Z Khan",215,4,27,"India"
"DS Lehmann",29,1,1,"Australia"
"A Kumble",110,3,8,"India"
"B Lee",70,5,12,"Australia"
"J Srinath",116,0,8,"India"
"JN Gillespie",13,3,1,"Australia"
"SR Tendulkar",80,1,5,"India"
"D Mongia",39,0,2,"India"
"A Nehra",60,0,6,"India"
"AJ Bichel",128,3,10,"Australia"
"Yuvraj Singh",54,1,2,"India"
"V Sehwag",78,2,2,"India"
"BA Williams",94,1,7,"Australia"
"IJ Harvey",48,0,1,"Australia"
"NW Bracken",82,8,3,"Australia"
"AB Agarkar",79,5,2,"India"
"MJ Clarke",42,4,0,"Australia"
