"","player","country","batting","bowling_style"
"1","DR Martyn","Australia","None","None"
"2","GD McGrath","Australia","None","None"
"3","A Symonds","Australia","None","None"
"4","GB Hogg","Australia","None","None"
"5","SR Tendulkar","India","None","None"
"6","D Mongia","India","None","None"
"7","Harbhajan Singh","India","None","None"
"8","MG Bevan","Australia","None","None"
"9","Z Khan","India","None","None"
"10","M Kaif","India","None","None"
"11","DS Lehmann","Australia","None","None"
"12","ML Hayden","Australia","None","None"
"13","A Kumble","India","None","None"
"14","Yuvraj Singh","India","None","None"
"15","AC Gilchrist","Australia","None","None"
"16","B Lee","Australia","None","None"
"17","RT Ponting","Australia","None","None"
"18","V Sehwag","India","None","None"
"19","J Srinath","India","None","None"
"20","JN Gillespie","Australia","None","None"
"21","SC Ganguly","India","None","None"
"22","R Dravid","India","None","None"
"23","AJ Bichel","Australia","None","None"
"24","A Nehra","India","None","None"
"25","IJ Harvey","Australia","None","None"
"26","BA Williams","Australia","None","None"
"27","NW Bracken","Australia","None","None"
"28","VVS Laxman","India","None","None"
"29","AB Agarkar","India","None","None"
"30","PA Patel","India","None","None"
"31","MJ Clarke","Australia","None","None"
"32","SB Bangar","India","None","None"
"33","IK Pathan","India","None","None"
"34","L Balaji","India","None","None"
"35","RS Gavaskar","India","None","None"
"36","HK Badani","India","None","None"
"37","SM Katich","Australia","None","None"
"38","M Kartik","India","None","None"
"39","MEK Hussey","Australia","None","None"
"40","BJ Haddin","Australia","None","None"
"41","MS Kasprowicz","Australia","None","None"
"42","SR Watson","Australia","None","None"
"43","MG Johnson","Australia","None","None"
"44","MS Dhoni","India","None","None"
"45","SK Raina","India","None","None"
"46","MM Patel","India","None","None"
"47","S Sreesanth","India","None","None"
"48","PA Jaques","Australia","None","None"
"49","MJ Cosgrove","Australia","None","None"
"50","SR Clark","Australia","None","None"
"51","RP Singh","India","None","None"
"52","BJ Hodge","Australia","None","None"
"53","JR Hopes","Australia","None","None"
"54","G Gambhir","India","None","None"
"55","RR Powar","India","None","None"
"56","RV Uthappa","India","None","None"
"57","RG Sharma","India","None","None"
"58","KD Karthik","India","None","None"
"59","AA Noffke","Australia","None","None"
"60","MK Tiwary","India","None","None"
"61","I Sharma","India","None","None"
"62","P Kumar","India","None","None"
"63","PP Chawla","India","None","None"
"64","TD Paine","Australia","None","None"
"65","CL White","Australia","None","None"
"66","CJ Ferguson","Australia","None","None"
"67","NM Hauritz","Australia","None","None"
"68","PM Siddle","Australia","None","None"
"69","V Kohli","India","None","None"
"70","A Mishra","India","None","None"
"71","AC Voges","Australia","None","None"
"72","RA Jadeja","India","None","None"
"73","SE Marsh","Australia","None","None"
"74","BW Hilfenhaus","Australia","None","None"
"75","MC Henriques","Australia","None","None"
"76","GA Manou","Australia","None","None"
"77","DE Bollinger","Australia","None","None"
"78","CJ McKay","Australia","None","None"
"79","SPD Smith","Australia","None","None"
"80","JW Hastings","Australia","None","None"
"81","MA Starc","Australia","None","None"
"82","S Dhawan","India","None","None"
"83","M Vijay","India","None","None"
"84","SS Tiwary","India","None","None"
"85","R Ashwin","India","None","None"
"86","R Vinay Kumar","India","None","None"
"87","DJ Hussey","Australia","None","None"
"88","JJ Krejza","Australia","None","None"
"89","SW Tait","Australia","None","None"
"90","MS Wade","Australia","None","None"
"91","DA Warner","Australia","None","None"
"92","DT Christian","Australia","None","None"
"93","RJ Harris","Australia","None","None"
"94","XJ Doherty","Australia","None","None"
"95","R Sharma","India","None","None"
"96","PJ Forrest","Australia","None","None"
"97","UT Yadav","India","None","None"
"98","PJ Hughes","Australia","None","None"
"99","AJ Finch","Australia","None","None"
"100","GJ Bailey","Australia","None","None"
"101","GJ Maxwell","Australia","None","None"
"102","JP Faulkner","Australia","None","None"
"103","B Kumar","India","None","None"
"104","Mohammed Shami","India","None","None"
"105","JD Unadkat","India","None","None"
"106","NM Coulter-Nile","Australia","None","None"
"107","JR Hazlewood","Australia","None","None"
"108","AM Rahane","India","None","None"
"109","MM Sharma","India","None","None"
"110","PJ Cummins","Australia","None","None"
"111","GS Sandhu","Australia","None","None"
"112","AR Patel","India","None","None"
"113","MR Marsh","Australia","None","None"
"114","AT Rayudu","India","None","None"
"115","STR Binny","India","None","None"
"116","SM Boland","Australia","None","None"
"117","JS Paris","Australia","None","None"
"118","MK Pandey","India","None","None"
"119","BB Sran","India","None","None"
"120","KW Richardson","Australia","None","None"
"121","Gurkeerat Singh","India","None","None"
"122","R Dhawan","India","None","None"
"123","NM Lyon","Australia","None","None"
"124","JJ Bumrah","India","None","None"
"125","HWR Cartwright","Australia","None","None"
"126","TM Head","Australia","None","None"
"127","MP Stoinis","Australia","None","None"
"128","A Zampa","Australia","None","None"
"129","KM Jadhav","India","None","None"
"130","HH Pandya","India","None","None"
"131","Kuldeep Yadav","India","None","None"
"132","YS Chahal","India","None","None"
"133","AC Agar","Australia","None","None"
"134","PSP Handscomb","Australia","None","None"
"135","UT Khawaja","Australia","None","None"
"136","AT Carey","Australia","None","None"
"137","KL Rahul","India","None","None"
"138","JA Richardson","Australia","None","None"
"139","JP Behrendorff","Australia","None","None"
"140","KK Ahmed","India","None","None"
"141","Mohammed Siraj","India","None","None"
"142","B Stanlake","Australia","None","None"
"143","V Shankar","India","None","None"
"144","AJ Turner","Australia","None","None"
"145","RR Pant","India","None","None"
"146","M Labuschagne","Australia","None","None"
"147","SS Iyer","India","None","None"
"148","SN Thakur","India","None","None"
"149","Navdeep Saini","India","None","None"
"150","MA Agarwal","India","None","None"
"151","C Green","Australia","None","None"
"152","SA Abbott","Australia","None","None"
"153","Shubman Gill","India","None","None"
"154","T Natarajan","India","None","None"
"155","JP Inglis","Australia","None","None"
"156","Ishan Kishan","India","None","None"
"157","SA Yadav","India","None","None"
"158","NT Ellis","Australia","None","None"
"159","MW Short","Australia","None","None"
"160","RD Gaikwad","India","None","None"
"161","SH Johnson","Australia","None","None"
"162","M Prasidh Krishna","India","None","None"
"163","T Sangha","Australia","None","None"
"164","Washington Sundar","India","None","None"
